Age,Height,Weight,H_Cal_Consump,Water_Consump,Alcohol_Consump,Food_Between_Meals,Fam_Hist,H_Cal_Burn,Phys_Act,Time_E_Dev,Gender_Female,Gender_Male,Transport_Automobile,Transport_Bike,Transport_Motorbike,Transport_Public_Transportation,Transport_Walking,Body_Level
-0.2757693915147907,0.22044310092422867,-1.3194459408426267,1,-1.5546107998472622,3,1,1,0,-0.2707982469266704,1.2252619035027998,1,0,0,0,0,1,0,1
-0.7105534367440485,0.4449263841469292,-1.2034833256149262,1,1.358083072215121,2,2,1,0,0.7787991339281709,2.2303160105143887,0,1,0,0,0,1,0,1
-1.023104402487864,0.0719043058724406,-1.3910602310625577,1,-1.460881981297937,2,2,0,0,-0.7154434190194595,0.5774078595477135,1,0,0,0,0,1,0,1
-0.8358317909891629,-0.11493435351714139,-1.3950300240374345,1,-1.5730062960223476,2,2,0,0,1.1566978590383392,0.5774078595477135,1,0,0,0,0,1,0,1
-0.7215967303865285,0.9692561770252206,-1.0790943599983476,1,0.11580894544647999,3,2,1,0,1.1882742768441705,1.3101883242994676,0,1,1,0,0,0,0,1
-0.9207265967017187,1.636026800903727,-1.060867321491198,1,0.4945526502495185,3,2,1,0,1.1725369823692455,0.789566885265041,0,1,1,0,0,0,0,1
-0.9951715331379196,0.3920844079634386,-1.381593810445652,1,-1.163336806161922,2,2,1,0,-0.4004796631314135,1.38274272758615,0,1,0,0,0,1,0,1
0.8986044562918196,-0.9589686707007833,-1.4094836959798025,1,-0.008257040986224574,3,1,1,0,-0.23814788990717886,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.13386202406048106,-1.1111218569235226,-1.5968287725829613,0,-0.14241015186665096,3,1,0,0,-0.7175226221718158,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.6787629135035219,-0.6510373386891172,-1.4291273648019291,0,-0.008257040986224574,2,2,0,0,1.1566978590383392,0.5774078595477135,1,0,1,0,0,0,0,1
-0.9189059815043426,-0.016933624487243292,-1.3910602310625577,1,-1.4815884046246748,2,2,0,0,-0.47858713189470586,0.5774078595477135,1,0,0,0,0,1,0,1
-0.6383233606452888,-1.7689304816413098,-1.7234397167959072,1,-1.2192376985449471,2,1,0,0,-1.1600128114984951,-0.40823118832262106,1,0,0,0,0,1,0,1
-0.9920751583861774,-0.0023703758510725285,-1.3876925078749032,1,-1.532180453893088,2,2,0,0,-0.24135431481411562,0.6283967701887334,1,0,0,0,0,1,0,1
-1.1646414136528913,0.09876916656412475,-1.5719313824991965,1,0.32114764343663127,2,2,0,0,1.6396815954079775,1.2435910019888696,1,0,0,0,0,1,0,1
-1.1533758429551184,1.0399058991825465,-1.0865231611475858,1,-0.008257040986224574,3,1,0,0,1.1566978590383392,0.5774078595477135,0,1,0,0,0,0,1,1
-0.9951715331379196,0.9342219468155676,-1.3149259635838149,0,-0.008257040986224574,2,2,0,0,-0.02735860585709835,0.5774078595477135,0,1,0,0,0,1,0,1
-0.686967389010642,-1.804218353336644,-1.7956558864673915,1,-0.03847809808459437,2,2,0,0,1.5200184809527146,0.11534399757758318,1,0,0,0,0,1,0,1
-0.520558603686323,-1.9192447670928627,-1.6955973009775296,1,-1.6209068327882432,2,1,0,0,-1.2114150707525357,-1.0755002914189622,1,0,0,0,0,1,0,1
-1.1402659264134967,-0.6423289810140764,-1.643635473087619,1,1.4611684848564812,2,2,0,0,1.8613630148786309,1.2058501501778474,1,0,0,0,0,1,0,1
-0.5913241824891052,-1.8830374450119365,-1.6955973009775296,1,-1.322466637017778,2,1,0,0,-1.2114150707525357,-0.9487982700147627,1,0,0,0,0,1,0,1
-0.934835257051217,0.22135198291458502,-1.247015072536852,1,0.1081665980831305,2,2,1,0,0.5504455562778314,2.2303160105143887,0,1,0,0,0,1,0,1
-1.1533758429551184,2.096745422852334,-1.0103888936688428,0,-0.008257040986224574,3,2,0,0,2.3407543239337767,0.5774078595477135,0,1,0,0,0,0,1,1
-1.0791120504536584,1.0255857236368209,-1.0251316474248278,1,-0.008257040986224574,3,2,1,0,1.1566978590383392,-0.8556552427996394,0,1,1,0,0,0,0,1
0.17246439311357603,-0.7527158692613863,-1.5409322876826155,1,0.33410205921417646,3,1,1,0,0.7030645143205289,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.33436447096764554,0.16759055634550218,-1.3342657044101662,1,-1.5170876644916127,3,1,1,0,1.4006786139123686,2.161040976999225,1,0,0,0,0,1,0,1
-0.020075156267559086,-0.5873099154118268,-1.397162963607985,1,1.1697836319251502,3,1,1,0,-1.0846286726044623,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.9951715331379196,0.18270336153398062,-1.3127053173371286,1,-0.40864089334545445,2,2,1,0,-0.9732586896293272,1.8060458934161117,0,1,0,0,0,1,0,1
-0.9951715331379196,1.4626417086504624,-1.0103888936688428,1,-0.008257040986224574,2,2,1,1,1.1566978590383392,-1.0755002914189622,0,1,1,0,0,0,0,1
-0.8369672233207208,-1.7039137141451428,-1.695358163243379,0,-1.0825930437361868,2,1,0,1,1.0114958306917468,-0.4623159959304017,1,0,0,0,0,1,0,1
-0.5071705639680427,0.9053068174479614,-1.0642483301085275,1,0.6173623824944099,3,2,1,0,1.1286842671353778,1.6890018143380106,0,1,1,0,0,0,0,1
-1.1533758429551184,0.9342219468155676,-1.1245902948869573,1,-0.008257040986224574,3,1,1,0,1.1566978590383392,0.5774078595477135,0,1,0,0,0,1,0,1
-0.500767560936811,0.6962111176898943,-1.1525331318041392,1,0.4166213490606864,3,1,1,0,1.1566978590383392,0.31956079962951583,1,0,0,0,0,1,0,1
-0.8286088150201487,-1.6386433051632971,-1.6929329061528435,1,0.5057525030535834,3,2,0,0,0.20173974330966032,0.15704025859386847,1,0,0,0,0,1,0,1
-1.2630319962187135,0.5406020662247549,-1.3910602310625577,1,-0.35039198286556533,2,2,0,0,1.0697786420632949,0.29401510415632587,0,1,0,0,0,1,0,1
-0.4610063881590744,0.22114061500984966,-1.3593492047107827,0,-0.7031768639699667,2,1,0,0,-0.5650019408157047,-0.29907148112463083,1,0,0,0,0,1,0,1
-0.9802878298746273,0.22960589959444522,-1.3910602310625577,1,-1.6209068327882432,2,1,0,0,1.1566978590383392,0.5774078595477135,1,0,0,0,0,1,0,1
-0.4713717763339872,0.20119805319820105,-1.3910602310625577,1,-1.3836521827685382,3,1,1,0,-0.03557832583640248,-0.9280278261897155,1,0,0,0,0,1,0,1
-0.8369672233207208,-1.7078768623589047,-1.6955973009775296,1,-0.008257040986224574,3,2,0,0,-1.2114150707525357,0.5774078595477135,1,0,0,0,0,1,0,1
-0.6796262344221944,-1.7317720039890794,-1.8059232776453076,1,-0.011895178916529987,2,2,0,0,1.668734788887117,1.6124490262341398,1,0,0,0,0,1,0,1
-0.8225158924361586,-1.032313333643466,-1.5813958997594153,0,-1.165397772595845,2,1,0,1,0.6853841831867102,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.6404399761063332,0.5783840791959487,-1.2171945742479755,1,1.0465417095360563,3,2,1,0,1.2906750320977225,2.2303160105143887,0,1,0,0,0,1,0,1
-0.408493948010071,0.027104878464077147,-1.384750451376722,1,1.2268327309599383,3,1,1,0,-0.48791276061222233,1.074424117278185,1,0,0,0,0,1,0,1
-0.7050751379036989,-0.022598284334111984,-1.4033922313059621,1,-0.2067500406101762,2,1,0,0,1.1566978590383392,0.5774078595477135,1,0,0,0,0,1,0,1
-0.7358064832899998,-1.7570199002095503,-1.6955973009775296,1,-0.8197262897230824,2,1,0,0,-1.2114150707525357,-0.2268526181925949,1,0,0,0,0,1,0,1
-0.24877261706603473,-1.1203797711508687,-1.5973399761219473,0,-0.8297198804828795,3,1,0,0,-0.8021056957416214,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.4771112704898454,0.3788844823128023,-1.372824589383183,1,-1.0940638217052745,3,1,1,0,-0.2737264185643569,-0.8632768022837468,1,0,0,0,0,1,0,1
-1.1200053332724471,1.2465920048266477,-1.0741466984919739,1,-0.008257040986224574,3,2,1,0,1.1566978590383392,-0.5275893388120756,0,1,1,0,0,0,0,1
-0.9951715331379196,0.0005042276533098256,-1.3850567776019227,1,-1.373269943408917,2,2,1,0,-0.2239403963848984,1.5956736614099791,0,1,0,0,0,1,0,1
-0.2043542258158991,0.40694357166623596,-1.2518384448515667,1,-0.2555955901540672,3,1,1,0,1.7016456383288854,0.2708231498901124,1,0,0,0,0,1,0,1
-0.6154728047482221,-1.8164776918112118,-1.7586569165007468,1,-0.9114022050874435,2,2,0,0,-1.0401685364041033,-0.5427564240053458,1,0,0,0,0,1,0,1
-0.4448584742560327,-0.15499913985946415,-1.3432456651250164,1,-0.15278594062710524,3,1,1,0,-0.6423409569332801,-0.042302117320863496,1,0,0,0,0,1,0,1
-0.9951715331379196,-1.1794571005240098,-1.7717315684562727,1,-1.6209068327882432,3,1,1,0,-1.2114150707525357,2.2303160105143887,1,0,0,0,0,1,0,1
-0.9912396814260327,-0.016933624487243292,-1.3910602310625577,1,-1.5935433911209465,2,1,0,0,-0.4401064808420691,0.5774078595477135,1,0,0,0,0,1,0,1
-0.9507015672827834,-0.016933624487243292,-1.3910602310625577,1,-0.4179362067454011,2,2,0,0,-1.0740953062927523,0.5774078595477135,1,0,0,0,0,1,0,1
-0.3922248496057095,0.11686225920935321,-1.3302063775367345,1,-1.2116114776795155,3,1,1,0,-0.5663600535809398,-0.651724393857824,0,1,0,0,0,1,0,1
-0.3571131432891904,0.027696708597332823,-1.3363202637523477,1,0.0638187288085745,3,1,1,0,1.1664734292125156,0.9920745802888744,1,0,0,0,0,1,0,1
-0.4749959206632797,-1.5411287223142847,-1.681889326117982,0,-1.2655352614177915,3,1,0,0,-1.1719528368905006,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.44287158632903856,-1.2116695692054666,-1.6541989884988932,0,-0.3436527193856248,3,1,0,0,-1.069751003123051,-1.0755002914189622,1,0,0,0,0,1,0,1
-0.7894371115007905,0.3989750016577666,-1.4043984598520949,1,-0.5047725600845644,2,2,0,0,1.1566978590383392,0.5774078595477135,1,0,0,0,0,1,0,1
-0.9609943396794908,0.5696862899161461,-1.3149259635838149,1,-0.008257040986224574,3,1,1,0,-0.43124737037172145,0.5774078595477135,0,1,0,0,0,1,0,1
-0.856807467610586,-1.7754194763166413,-1.7081843510169878,1,-1.1291937847698896,2,2,0,0,-0.9119790313451286,0.5797301954998217,1,0,0,0,0,1,0,1
-0.9951715331379196,-0.016933624487243292,-1.3910602310625577,0,-0.008257040986224574,2,2,0,0,-1.2114150707525357,0.5774078595477135,1,0,0,0,0,0,1,1
0.45211788006107373,-0.4349559296795902,-1.4078743317667033,1,0.02522801929075219,3,1,1,0,0.06584913500300557,1.0192136792195963,1,0,0,0,0,1,0,1
-1.1533758429551184,1.297922700491288,-1.0372196754080965,1,-0.008257040986224574,3,2,1,0,1.5705196732369702,0.5774078595477135,0,1,1,0,0,0,0,1
